,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.533,91.00,ABC 91% CDI por ABC Personal,FGC,LCA,10.84% a.a.,12/10/2023,ABC Personal,ABC
1,5.532,109.20,Will Financeira 109.2% CDI por Will Financeira,FGC,CDB,10.73% a.a.,16/10/2023,Will Financeira,Will Financeira
2,5.532,109.20,Will Financeira 109.2% CDI por Will Financeira,FGC,LC,10.73% a.a.,16/10/2023,Will Financeira,Will Financeira
3,5.531,90.00,BTG Pactual 90% CDI por Nova Futura Investimentos,FGC,LCA,10.72% a.a.,16/10/2023,Nova Futura Investimentos,BTG Pactual
4,5.531,10.71,BTG Pactual Prefixado 10.71% por Nova Futura Investimentos,FGC,LCA,10.71% a.a.,16/10/2023,Nova Futura Investimentos,BTG Pactual
5,5.530,13.08,BMG Prefixado 13.08% por Nova Futura Investimentos,FGC,CDB,10.78% a.a.,12/10/2023,Nova Futura Investimentos,BMG
6,5.530,10.69,BTG Pactual IPCA + 4.72% por modalmais,FGC,LCA,10.69% a.a.,16/10/2023,modalmais,BTG Pactual
7,5.530,108.75,Realize Financeira 108.75% CDI por XP Investimentos,FGC,CDB,10.68% a.a.,16/10/2023,XP Investimentos,Realize Financeira
8,5.528,109.00,Caruana Financeira 109% CDI por Daycoval,FGC,CDB,10.71% a.a.,14/10/2023,Daycoval,Caruana Financeira
9,5.526,108.00,Topázio 108% CDI por modalmais,FGC,CDB,10.61% a.a.,16/10/2023,modalmais,Topázio
10,5.526,108.00,RNX 108% CDI por Órama,FGC,CDB,10.61% a.a.,16/10/2023,Órama,RNX
11,5.525,107.00,PagBank 107% CDI por Ágora Investimentos,FGC,CDB,10.51% a.a.,18/10/2023,Ágora Investimentos,PagBank
