,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.545,13.45,PAN Prefixado 13.45% por modalmais,FGC,CDB,11.09% a.a.,12/10/2023,modalmais,PAN
1,5.544,13.31,Will Financeira Prefixado 13.31% por Will Financeira,FGC,RDB,10.97% a.a.,16/10/2023,Will Financeira,Will Financeira
2,5.541,111.20,Will Financeira 111.2% CDI por Will Financeira,FGC,RDB,10.93% a.a.,16/10/2023,Will Financeira,Will Financeira
3,5.540,111.00,Modal 111% CDI por modalmais,FGC,CDB,10.91% a.a.,16/10/2023,modalmais,Modal
4,5.540,13.10,ABC IPCA + 7% por ABC Personal,FGC,CDB,10.81% a.a.,18/10/2023,ABC Personal,ABC
5,5.539,91.00,ABC 91% CDI por Guide Investimentos,FGC,LCA,10.84% a.a.,17/10/2023,Guide Investimentos,ABC
6,5.539,13.20,BTG Pactual Prefixado 13.2% por Nova Futura Investimentos,FGC,CDB,10.88% a.a.,16/10/2023,Nova Futura Investimentos,BTG Pactual
7,5.539,13.13,BV IPCA + 7.03% por Nova Futura Investimentos,FGC,CDB,10.83% a.a.,17/10/2023,Nova Futura Investimentos,BV
8,5.538,111.00,Maxinvest 111% CDI por Daycoval,FGC,CDB,10.91% a.a.,14/10/2023,Daycoval,Maxinvest
9,5.536,110.00,Bari 110% CDI por Bari,FGC,CDB,10.81% a.a.,16/10/2023,Bari,Bari
10,5.536,110.00,Facta Financeira 110% CDI por Órama,FGC,CDB,10.81% a.a.,16/10/2023,Órama,Facta Financeira
11,5.533,110.00,Banco Master 110% CDI por Nu invest,FGC,CDB,10.81% a.a.,13/10/2023,Nu invest,Banco Master
