,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.556,11.22,BTG Pactual IPCA + 5.22% por Nova Futura Investimentos,FGC,LCA,11.22% a.a.,16/10/2023,Nova Futura Investimentos,BTG Pactual
1,5.556,13.60,RNX Prefixado 13.6% por modalmais,FGC,CDB,11.21% a.a.,16/10/2023,modalmais,RNX
2,5.556,13.60,C6 Bank Prefixado 13.6% por Nova Futura Investimentos,FGC,CDB,11.21% a.a.,16/10/2023,Nova Futura Investimentos,C6 Bank
3,5.552,13.50,Focus Financeira Prefixado 13.5% por modalmais,FGC,CDB,11.13% a.a.,16/10/2023,modalmais,Focus Financeira
4,5.551,13.48,Modal Prefixado 13.48% por modalmais,FGC,CDB,11.12% a.a.,16/10/2023,modalmais,Modal
5,5.549,13.56,NBC Prefixado 13.56% por Nova Futura Investimentos,FGC,CDB,11.18% a.a.,12/10/2023,Nova Futura Investimentos,NBC
6,5.548,13.42,Votorantim Prefixado 13.42% por modalmais,FGC,CDB,11.07% a.a.,16/10/2023,modalmais,Votorantim
7,5.548,13.41,BR Partners Prefixado 13.41% por modalmais,FGC,CDB,11.06% a.a.,16/10/2023,modalmais,BR Partners
8,5.548,13.40,C6 Bank Prefixado 13.4% por modalmais,FGC,CDB,11.05% a.a.,16/10/2023,modalmais,C6 Bank
9,5.546,13.37,BV Prefixado 13.37% por Nova Futura Investimentos,FGC,CDB,11.02% a.a.,16/10/2023,Nova Futura Investimentos,BV
10,5.545,13.34,BTG Pactual IPCA + 7.23% por modalmais,FGC,CDB,11.01% a.a.,16/10/2023,modalmais,BTG Pactual
11,5.545,111.00,Fator 111% CDI por Ágora Investimentos,FGC,CDB,10.91% a.a.,18/10/2023,Ágora Investimentos,Fator
