,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.467,96.00,Caixa Geral 96% CDI por Órama,FGC,CDB,9.43% a.a.,16/10/2023,Órama,Caixa Geral
1,5.466,11.40,Caruana Financeira Prefixado 11.4% por Nova Futura Investimentos,FGC,CDB,9.40% a.a.,16/10/2023,Nova Futura Investimentos,Caruana Financeira
2,5.464,11.40,Caruana Financeira Prefixado 11.4% por Daycoval,FGC,CDB,9.40% a.a.,14/10/2023,Daycoval,Caruana Financeira
3,5.458,94.00,Digimais 94% CDI por Guide Investimentos,FGC,CDB,9.24% a.a.,16/10/2023,Guide Investimentos,Digimais
4,5.458,94.00,BS2 94% CDI por Órama,FGC,CDB,9.24% a.a.,16/10/2023,Órama,BS2
5,5.458,94.00,Agibank 94% CDI por Nova Futura Investimentos,FGC,CDB,9.24% a.a.,16/10/2023,Nova Futura Investimentos,Agibank
6,5.458,94.00,Digimais 94% CDI por Guide Investimentos,FGC,CDB,9.24% a.a.,16/10/2023,Guide Investimentos,Digimais
7,5.458,11.20,Caruana Financeira Prefixado 11.2% por modalmais,FGC,CDB,9.23% a.a.,16/10/2023,modalmais,Caruana Financeira
8,5.453,93.00,Agibank 93% CDI por Guide Investimentos,FGC,CDB,9.14% a.a.,16/10/2023,Guide Investimentos,Agibank
9,5.448,92.00,BS2 92% CDI por Nova Futura Investimentos,FGC,CDB,9.04% a.a.,16/10/2023,Nova Futura Investimentos,BS2
10,5.443,91.00,BS2 91% CDI por Guide Investimentos,FGC,CDB,8.94% a.a.,16/10/2023,Guide Investimentos,BS2
11,5.432,10.67,Fator IPCA + 4.7% por Nova Futura Investimentos,FGC,CDB,8.80% a.a.,12/10/2023,Nova Futura Investimentos,Fator
