,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.514,105.50,Luso Brasileiro 105.5% CDI por XP Investimentos,FGC,CDB,10.37% a.a.,16/10/2023,XP Investimentos,Luso Brasileiro
1,5.514,105.50,PagBank 105.5% CDI por XP Investimentos,FGC,CDB,10.37% a.a.,16/10/2023,XP Investimentos,PagBank
2,5.513,105.00,Paulista 105% CDI por Guide Investimentos,FGC,CDB,10.32% a.a.,17/10/2023,Guide Investimentos,Paulista
3,5.513,105.00,Pine 105% CDI por Guide Investimentos,FGC,CDB,10.32% a.a.,17/10/2023,Guide Investimentos,Pine
4,5.512,12.59,BS2 Prefixado 12.59% por Daycoval,FGC,CDB,10.38% a.a.,14/10/2023,Daycoval,BS2
5,5.512,106.00,Banco Inter 106% CDI por Banco Inter,FGC,CDB,10.41% a.a.,12/10/2023,Banco Inter,Banco Inter
6,5.511,105.00,Bari 105% CDI por Bari,FGC,CDB,10.32% a.a.,16/10/2023,Bari,Bari
7,5.511,105.00,Paraná Banco 105% CDI por Paraná Banco,FGC,CDB,10.32% a.a.,16/10/2023,Paraná Banco,Paraná Banco
8,5.511,105.00,Caruana Financeira 105% CDI por Nova Futura Investimentos,FGC,CDB,10.32% a.a.,16/10/2023,Nova Futura Investimentos,Caruana Financeira
9,5.511,105.00,Banco Industrial do Brasil 105% CDI por Guide Investimentos,FGC,CDB,10.32% a.a.,16/10/2023,Guide Investimentos,Banco Industrial do Brasil
10,5.511,105.00,Caruana Financeira 105% CDI por modalmais,FGC,CDB,10.32% a.a.,16/10/2023,modalmais,Caruana Financeira
11,5.511,105.00,Daycoval 105% CDI por Daycoval,FGC,CDB,10.32% a.a.,16/10/2023,Daycoval,Daycoval
