,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.619,12.38,ABC Prefixado 12.38% por ABC Personal,FGC,LCA,12.38% a.a.,18/10/2023,ABC Personal,ABC
1,5.605,14.80,Will Financeira Prefixado 14.8% por Órama,FGC,CDB,12.20% a.a.,16/10/2023,Órama,Will Financeira
2,5.604,14.90,BRK Financeira IPCA + 8.7% por Nova Futura Investimentos,FGC,CDB,12.29% a.a.,12/10/2023,Nova Futura Investimentos,BRK Financeira
3,5.592,12.00,Daycoval Prefixado 12% por Daycoval,FGC,LCA,12.00% a.a.,14/10/2023,Daycoval,Daycoval
4,5.589,14.47,BTG Pactual IPCA + 8.3% por Nu invest,FGC,CDB,11.94% a.a.,15/10/2023,Nu invest,BTG Pactual
5,5.588,14.38,Banco Master IPCA + 8.21% por Nu invest,FGC,CDB,11.86% a.a.,16/10/2023,Nu invest,Banco Master
6,5.580,14.25,Facta Financeira Prefixado 14.25% por XP Investimentos,FGC,CDB,11.75% a.a.,15/10/2023,XP Investimentos,Facta Financeira
7,5.578,98.00,Bari 98% CDI por Bari,FGC,LCI,11.67% a.a.,16/10/2023,Bari,Bari
8,5.576,11.53,ABC IPCA + 5.51% por ABC Personal,FGC,LCA,11.53% a.a.,18/10/2023,ABC Personal,ABC
9,5.575,119.15,BRK Financeira CDI + 2.04% por Nova Futura Investimentos,FGC,CDB,11.71% a.a.,12/10/2023,Nova Futura Investimentos,BRK Financeira
10,5.570,13.95,Agibank Prefixado 13.95% por Nova Futura Investimentos,FGC,CDB,11.50% a.a.,16/10/2023,Nova Futura Investimentos,Agibank
11,5.569,116.85,Tesouro SELIC 2027,,Tesouro Direto,11.48% a.a.,16/10/2023,Rico Investimentos,Tesouro Nacional
