,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.504,103.00,Original 103% CDI por Guide Investimentos,FGC,CDB,10.12% a.a.,17/10/2023,Guide Investimentos,Original
1,5.504,103.00,Omni Banco 103% CDI por Guide Investimentos,FGC,CDB,10.12% a.a.,17/10/2023,Guide Investimentos,Omni Banco
2,5.504,103.00,Paraná Banco 103% CDI por Guide Investimentos,FGC,CDB,10.12% a.a.,17/10/2023,Guide Investimentos,Paraná Banco
3,5.504,103.00,C6 Bank 103% CDI por Guide Investimentos,FGC,CDB,10.12% a.a.,17/10/2023,Guide Investimentos,C6 Bank
4,5.503,102.50,BTG Pactual 102.5% CDI por BTG Pactual,FGC,CDB,10.07% a.a.,18/10/2023,BTG Pactual,BTG Pactual
5,5.502,104.00,Paraná Banco 104% CDI por Nova Futura Investimentos,FGC,CDB,10.22% a.a.,12/10/2023,Nova Futura Investimentos,Paraná Banco
6,5.502,103.00,Daycoval 103% CDI por Daycoval,FGC,CDB,10.12% a.a.,16/10/2023,Daycoval,Daycoval
7,5.500,12.30,Maxinvest Prefixado 12.3% por Daycoval,FGC,CDB,10.14% a.a.,14/10/2023,Daycoval,Maxinvest
8,5.500,102.70,Votorantim 102.7% CDI por modalmais,FGC,CDB,10.09% a.a.,16/10/2023,modalmais,Votorantim
9,5.500,101.75,BTG Pactual 101.75% CDI por BTG Pactual,FGC,CDB,10.00% a.a.,18/10/2023,BTG Pactual,BTG Pactual
10,5.499,102.00,ABC 102% CDI por Guide Investimentos,FGC,CDB,10.02% a.a.,17/10/2023,Guide Investimentos,ABC
11,5.499,102.00,Alfa 102% CDI por Guide Investimentos,FGC,CDB,10.02% a.a.,17/10/2023,Guide Investimentos,Alfa
