,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.232,99.00,Senff Financeira 99% CDI por BTG Pactual,FGC,CDB,9.60% a.a.,17/04/2023,BTG Pactual,Senff Financeira
1,5.232,103.00,Fator 103% CDI por Nova Futura Investimentos,FGC,CDB,9.66% a.a.,15/04/2023,Nova Futura Investimentos,Fator
2,5.231,12.10,Pine Prefixado 12.1% por Daycoval,FGC,CDB,9.62% a.a.,16/04/2023,Daycoval,Pine
3,5.230,12.05,Daycoval Prefixado 12.05% por Daycoval,FGC,CDB,9.58% a.a.,16/04/2023,Daycoval,Daycoval
4,5.230,12.05,C6 Bank Prefixado 12.05% por Daycoval,FGC,CDB,9.58% a.a.,16/04/2023,Daycoval,C6 Bank
5,5.230,102.00,Paraná Banco 102% CDI por Nova Futura Investimentos,FGC,CDB,9.57% a.a.,15/04/2023,Nova Futura Investimentos,Paraná Banco
6,5.229,97.50,Bradesco 97.5% CDI por Ágora Investimentos,FGC,CDB,9.45% a.a.,17/04/2023,Ágora Investimentos,Bradesco
7,5.229,101.50,BTG Pactual 101.5% CDI por Nova Futura Investimentos,FGC,CDB,9.52% a.a.,15/04/2023,Nova Futura Investimentos,BTG Pactual
8,5.228,11.97,BS2 Prefixado 11.97% por Daycoval,FGC,CDB,9.52% a.a.,16/04/2023,Daycoval,BS2
9,5.225,96.00,Caixa Geral 96% CDI por Órama,FGC,CDB,9.31% a.a.,17/04/2023,Órama,Caixa Geral
10,5.225,96.00,Agibank 96% CDI por Órama,FGC,CDB,9.31% a.a.,17/04/2023,Órama,Agibank
11,5.225,96.00,Banco Master 96% CDI por Guide Investimentos,FGC,CDB,9.31% a.a.,17/04/2023,Guide Investimentos,Banco Master
