,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.225,96.00,Digimais 96% CDI por Ágora Investimentos,FGC,CDB,9.31% a.a.,17/04/2023,Ágora Investimentos,Digimais
1,5.225,96.00,Banco Inter 96% CDI por BTG Pactual,FGC,CDB,9.31% a.a.,17/04/2023,BTG Pactual,Banco Inter
2,5.223,95.00,Agibank 95% CDI por Ágora Investimentos,FGC,CDB,9.21% a.a.,17/04/2023,Ágora Investimentos,Agibank
3,5.221,11.60,Maxinvest Prefixado 11.6% por Daycoval,FGC,CDB,9.22% a.a.,16/04/2023,Daycoval,Maxinvest
4,5.221,94.00,Agibank 94% CDI por Nova Futura Investimentos,FGC,CDB,9.11% a.a.,17/04/2023,Nova Futura Investimentos,Agibank
5,5.221,94.00,Digimais 94% CDI por Guide Investimentos,FGC,CDB,9.11% a.a.,17/04/2023,Guide Investimentos,Digimais
6,5.221,94.00,BS2 94% CDI por Órama,FGC,CDB,9.11% a.a.,17/04/2023,Órama,BS2
7,5.221,94.00,Digimais 94% CDI por Guide Investimentos,FGC,CDB,9.11% a.a.,17/04/2023,Guide Investimentos,Digimais
8,5.218,93.00,Agibank 93% CDI por Guide Investimentos,FGC,CDB,9.02% a.a.,17/04/2023,Guide Investimentos,Agibank
9,5.216,92.00,BS2 92% CDI por Nova Futura Investimentos,FGC,CDB,8.92% a.a.,17/04/2023,Nova Futura Investimentos,BS2
10,5.214,91.00,BS2 91% CDI por Guide Investimentos,FGC,CDB,8.83% a.a.,17/04/2023,Guide Investimentos,BS2
11,5.205,10.63,Caruana Financeira Prefixado 10.63% por Ágora Investimentos,FGC,CDB,8.46% a.a.,17/04/2023,Ágora Investimentos,Caruana Financeira
