,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.236,100.50,Rodobens 100.5% CDI por BTG Pactual,FGC,CDB,9.74% a.a.,17/04/2023,BTG Pactual,Rodobens
1,5.235,100.25,Bradesco 100.25% CDI por Ágora Investimentos,FGC,CDB,9.72% a.a.,17/04/2023,Ágora Investimentos,Bradesco
2,5.235,101.00,Pine 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,16/04/2023,Daycoval,Pine
3,5.235,101.00,C6 Bank 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,16/04/2023,Daycoval,C6 Bank
4,5.234,100.00,NuBank 100% CDI por NuBank,FGC,RDB,9.69% a.a.,17/04/2023,NuBank,NuBank
5,5.234,100.00,Banco Inter 100% CDI por Banco Inter,FGC,CDB,9.69% a.a.,17/04/2023,Banco Inter,Banco Inter
6,5.234,100.00,Paraná Banco 100% CDI por Paraná Banco,FGC,CDB,9.69% a.a.,17/04/2023,Paraná Banco,Paraná Banco
7,5.234,100.00,Modal 100% CDI por Ágora Investimentos,FGC,CDB,9.69% a.a.,17/04/2023,Ágora Investimentos,Modal
8,5.234,100.00,ABC 100% CDI por ABC Personal,FGC,CDB,9.69% a.a.,17/04/2023,ABC Personal,ABC
9,5.234,100.00,Caruana Financeira 100% CDI por BTG Pactual,FGC,CDB,9.69% a.a.,17/04/2023,BTG Pactual,Caruana Financeira
10,5.234,100.00,Banco Industrial do Brasil 100% CDI por BTG Pactual,FGC,CDB,9.69% a.a.,17/04/2023,BTG Pactual,Banco Industrial do Brasil
11,5.234,100.00,Banco Master 100% CDI por Órama,FGC,CDB,9.69% a.a.,17/04/2023,Órama,Banco Master
