,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.237,102.00,C6 Bank 102% CDI por Nova Futura Investimentos,FGC,CDB,9.89% a.a.,16/04/2023,Nova Futura Investimentos,C6 Bank
1,5.237,102.00,BMG 102% CDI por Nova Futura Investimentos,FGC,CDB,9.89% a.a.,16/04/2023,Nova Futura Investimentos,BMG
2,5.237,102.00,RNX 102% CDI por modalmais,FGC,CDB,9.89% a.a.,16/04/2023,modalmais,RNX
3,5.237,102.00,BMG 102% CDI por modalmais,FGC,CDB,9.89% a.a.,16/04/2023,modalmais,BMG
4,5.237,102.00,C6 Bank 102% CDI por modalmais,FGC,CDB,9.89% a.a.,16/04/2023,modalmais,C6 Bank
5,5.237,101.00,Pine 101% CDI por Pine Online,FGC,CDB,9.79% a.a.,17/04/2023,Pine Online,Pine
6,5.237,101.00,Daycoval 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,17/04/2023,Daycoval,Daycoval
7,5.237,101.00,Caruana Financeira 101% CDI por Ágora Investimentos,FGC,CDB,9.79% a.a.,17/04/2023,Ágora Investimentos,Caruana Financeira
8,5.237,101.00,Omni Banco 101% CDI por Ágora Investimentos,FGC,CDB,9.79% a.a.,17/04/2023,Ágora Investimentos,Omni Banco
9,5.237,101.00,Pine 101% CDI por Ágora Investimentos,FGC,CDB,9.79% a.a.,17/04/2023,Ágora Investimentos,Pine
10,5.236,100.00,Omni Banco 100% CDI por Guide Investimentos,FGC,CDB,9.69% a.a.,18/04/2023,Guide Investimentos,Omni Banco
11,5.236,100.50,Pine 100.5% CDI por BTG Pactual,FGC,CDB,9.74% a.a.,17/04/2023,BTG Pactual,Pine
,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
