,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.263,13.60,Banco Master Prefixado 13.6% por Guide Investimentos,FGC,CDB,10.81% a.a.,18/04/2023,Guide Investimentos,Banco Master
1,5.262,13.80,Máxima Prefixado 13.8% por modalmais,FGC,CDB,10.96% a.a.,16/04/2023,modalmais,Máxima
2,5.262,89.00,BTG Pactual 89% CDI por Ágora Investimentos,FGC,LCA,10.85% a.a.,17/04/2023,Ágora Investimentos,BTG Pactual
3,5.262,89.00,Alfa 89% CDI por BTG Pactual,FGC,LCA,10.85% a.a.,17/04/2023,BTG Pactual,Alfa
4,5.259,13.53,Rodobens Prefixado 13.53% por BTG Pactual,FGC,CDB,10.75% a.a.,17/04/2023,BTG Pactual,Rodobens
5,5.259,13.52,BMG Prefixado 13.52% por Ágora Investimentos,FGC,CDB,10.74% a.a.,17/04/2023,Ágora Investimentos,BMG
6,5.259,13.51,Tribanco Prefixado 13.51% por Ágora Investimentos,FGC,CDB,10.73% a.a.,17/04/2023,Ágora Investimentos,Tribanco
7,5.259,88.00,BTG Pactual 88% CDI por Nu invest,FGC,LCA,10.73% a.a.,17/04/2023,Nu invest,BTG Pactual
8,5.258,13.44,BMG Prefixado 13.44% por BTG Pactual,FGC,CDB,10.68% a.a.,17/04/2023,BTG Pactual,BMG
9,5.258,13.43,Modal Prefixado 13.43% por Ágora Investimentos,FGC,CDB,10.67% a.a.,17/04/2023,Ágora Investimentos,Modal
10,5.257,110.00,Bari 110% CDI por Bari,FGC,CDB,10.66% a.a.,17/04/2023,Bari,Bari
11,5.257,13.29,BMG Prefixado 13.29% por Guide Investimentos,FGC,CDB,10.56% a.a.,18/04/2023,Guide Investimentos,BMG
,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.236,101.75,BTG Pactual 101.75% CDI por BTG Pactual,FGC,CDB,9.86% a.a.,25/04/2023,BTG Pactual,BTG Pactual
1,5.235,102.00,Daycoval 102% CDI por Nu invest,FGC,CDB,9.89% a.a.,24/04/2023,Nu invest,Daycoval
2,5.235,102.00,Banco Inter 102% CDI por Banco Inter,FGC,CDB,9.89% a.a.,24/04/2023,Banco Inter,Banco Inter
3,5.235,102.00,C6 Bank 102% CDI por Nova Futura Investimentos,FGC,CDB,9.89% a.a.,24/04/2023,Nova Futura Investimentos,C6 Bank
4,5.235,102.00,BMG 102% CDI por Nova Futura Investimentos,FGC,CDB,9.89% a.a.,24/04/2023,Nova Futura Investimentos,BMG
5,5.235,102.00,BMG 102% CDI por modalmais,FGC,CDB,9.89% a.a.,24/04/2023,modalmais,BMG
6,5.235,102.00,C6 Bank 102% CDI por modalmais,FGC,CDB,9.89% a.a.,24/04/2023,modalmais,C6 Bank
7,5.235,101.00,Daycoval 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,25/04/2023,Daycoval,Daycoval
8,5.234,100.00,Omni Banco 100% CDI por Guide Investimentos,FGC,CDB,9.69% a.a.,26/04/2023,Guide Investimentos,Omni Banco
9,5.233,100.25,Bradesco 100.25% CDI por Ágora Investimentos,FGC,CDB,9.72% a.a.,25/04/2023,Ágora Investimentos,Bradesco
10,5.233,101.00,BMG 101% CDI por Nu invest,FGC,CDB,9.79% a.a.,24/04/2023,Nu invest,BMG
11,5.233,101.00,Pine 101% CDI por Daycoval,FGC,CDB,9.79% a.a.,24/04/2023,Daycoval,Pine
