,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.250,106.00,Banco Master 106% CDI por Guide Investimentos,FGC,CDB,10.27% a.a.,18/04/2023,Guide Investimentos,Banco Master
1,5.250,104.00,Omni Banco 104% CDI por BTG Pactual,FGC,CDB,10.08% a.a.,20/04/2023,BTG Pactual,Omni Banco
2,5.250,104.00,RNX 104% CDI por Órama,FGC,CDB,10.08% a.a.,20/04/2023,Órama,RNX
3,5.248,107.00,Maxinvest 107% CDI por Daycoval,FGC,CDB,10.37% a.a.,16/04/2023,Daycoval,Maxinvest
4,5.248,106.00,BRK Financeira 106% CDI por Nova Futura Investimentos,FGC,CDB,10.27% a.a.,17/04/2023,Nova Futura Investimentos,BRK Financeira
5,5.247,103.00,Mercado Livre 103% CDI por Órama,FGC,CDB,9.98% a.a.,20/04/2023,Órama,Mercado Livre
6,5.247,105.51,ABC 105.51% CDI por ABC Personal,FGC,CDB,10.23% a.a.,17/04/2023,ABC Personal,ABC
7,5.247,102.00,C6 Bank 102% CDI por Órama,FGC,CDB,9.89% a.a.,24/04/2023,Órama,C6 Bank
8,5.246,105.00,Bari 105% CDI por Bari,FGC,CDB,10.18% a.a.,17/04/2023,Bari,Bari
9,5.246,105.00,Paraná Banco 105% CDI por Paraná Banco,FGC,CDB,10.18% a.a.,17/04/2023,Paraná Banco,Paraná Banco
10,5.246,105.00,PagBank 105% CDI por Nu invest,FGC,CDB,10.18% a.a.,17/04/2023,Nu invest,PagBank
11,5.246,105.00,PagBank 105% CDI por Ágora Investimentos,FGC,CDB,10.18% a.a.,17/04/2023,Ágora Investimentos,PagBank
,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,5.231,100.00,Banco Industrial do Brasil 100% CDI por modalmais,FGC,CDB,9.69% a.a.,24/04/2023,modalmais,Banco Industrial do Brasil
1,5.231,100.00,Pine 100% CDI por modalmais,FGC,CDB,9.69% a.a.,24/04/2023,modalmais,Pine
2,5.229,12.10,Pine Prefixado 12.1% por Daycoval,FGC,CDB,9.62% a.a.,24/04/2023,Daycoval,Pine
3,5.228,98.00,Voiter 98% CDI por Órama,FGC,CDB,9.50% a.a.,25/04/2023,Órama,Voiter
4,5.228,103.00,Fator 103% CDI por Nova Futura Investimentos,FGC,CDB,9.66% a.a.,23/04/2023,Nova Futura Investimentos,Fator
5,5.228,12.05,Daycoval Prefixado 12.05% por Daycoval,FGC,CDB,9.58% a.a.,24/04/2023,Daycoval,Daycoval
6,5.228,12.05,C6 Bank Prefixado 12.05% por Daycoval,FGC,CDB,9.58% a.a.,24/04/2023,Daycoval,C6 Bank
7,5.227,97.50,Bradesco 97.5% CDI por Ágora Investimentos,FGC,CDB,9.45% a.a.,25/04/2023,Ágora Investimentos,Bradesco
8,5.226,11.97,BS2 Prefixado 11.97% por Daycoval,FGC,CDB,9.52% a.a.,24/04/2023,Daycoval,BS2
9,5.226,102.00,Paraná Banco 102% CDI por Nova Futura Investimentos,FGC,CDB,9.57% a.a.,23/04/2023,Nova Futura Investimentos,Paraná Banco
10,5.225,101.50,BTG Pactual 101.5% CDI por Nova Futura Investimentos,FGC,CDB,9.52% a.a.,23/04/2023,Nova Futura Investimentos,BTG Pactual
11,5.223,96.00,Daycoval 96% CDI por Guide Investimentos,FGC,CDB,9.31% a.a.,25/04/2023,Guide Investimentos,Daycoval
