,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.140,12.67,Modal Prefixado 12.67% por modalmais,FGC,CDB,10.86% a.a.,15/10/2024,modalmais,Modal
1,6.139,112.00,Omni Banco 112% CDI por Guide Investimentos,FGC,CDB,10.81% a.a.,17/10/2024,Guide Investimentos,Omni Banco
2,6.139,114.13,NBC 114.13% CDI por Nova Futura Investimentos,FGC,CDB,11.01% a.a.,06/10/2024,Nova Futura Investimentos,NBC
3,6.137,114.00,Maxinvest 114% CDI por Daycoval,FGC,CDB,11.00% a.a.,06/10/2024,Daycoval,Maxinvest
4,6.133,12.60,C6 Bank Prefixado 12.6% por Nova Futura Investimentos,FGC,CDB,10.80% a.a.,15/10/2024,Nova Futura Investimentos,C6 Bank
5,6.129,95.00,Paulista 95% CDI por Guide Investimentos,FGC,LCA,10.69% a.a.,19/10/2024,Guide Investimentos,Paulista
6,6.129,111.50,Agibank 111.5% CDI por modalmais,FGC,CDB,10.76% a.a.,15/10/2024,modalmais,Agibank
7,6.129,111.50,Agibank 111.5% CDI por Nova Futura Investimentos,FGC,CDB,10.76% a.a.,15/10/2024,Nova Futura Investimentos,Agibank
8,6.127,113.00,Topázio 113% CDI por modalmais,FGC,CDB,10.90% a.a.,06/10/2024,modalmais,Topázio
9,6.127,113.00,Fator 113% CDI por Nova Futura Investimentos,FGC,CDB,10.90% a.a.,06/10/2024,Nova Futura Investimentos,Fator
10,6.125,12.71,ABC Prefixado 12.71% por ABC Personal,FGC,CDB,10.89% a.a.,06/10/2024,ABC Personal,ABC
11,6.123,111.00,Luso Brasileiro 111% CDI por modalmais,FGC,CDB,10.71% a.a.,15/10/2024,modalmais,Luso Brasileiro
