,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.187,13.36,Digimais Prefixado 13.36% por Nova Futura Investimentos,FGC,CDB,11.45% a.a.,06/10/2024,Nova Futura Investimentos,Digimais
1,6.185,116.00,Banco Master 116% CDI por Guide Investimentos,FGC,CDB,11.20% a.a.,19/10/2024,Guide Investimentos,Banco Master
2,6.184,100.00,Bari 100% CDI por Bari,FGC,LCI,11.26% a.a.,15/10/2024,Bari,Bari
3,6.181,13.10,Agibank Prefixado 13.1% por Nova Futura Investimentos,FGC,CDB,11.23% a.a.,15/10/2024,Nova Futura Investimentos,Agibank
4,6.180,117.00,Credipar Financeira 117% CDI por Órama,FGC,LC,11.29% a.a.,10/10/2024,Órama,Credipar Financeira
5,6.177,116.00,Digimais 116% CDI por modalmais,FGC,CDB,11.19% a.a.,15/10/2024,modalmais,Digimais
6,6.176,13.25,RNX Prefixado 13.25% por modalmais,FGC,CDB,11.35% a.a.,06/10/2024,modalmais,RNX
7,6.168,13.16,Pine Prefixado 13.16% por modalmais,FGC,CDB,11.28% a.a.,06/10/2024,modalmais,Pine
8,6.166,115.00,Modal 115% CDI por modalmais,FGC,CDB,11.10% a.a.,15/10/2024,modalmais,Modal
9,6.165,100.00,Banco Inter 100% CDI por Banco Inter,FGC,LCI,11.26% a.a.,05/10/2024,Banco Inter,Banco Inter
10,6.163,114.00,Fator 114% CDI por Ágora Investimentos,FGC,CDB,11.00% a.a.,18/10/2024,Ágora Investimentos,Fator
11,6.162,12.90,Agibank Prefixado 12.9% por modalmais,FGC,CDB,11.05% a.a.,15/10/2024,modalmais,Agibank
