,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.053,104.00,BR Partners 104% CDI por Guide Investimentos,FGC,CDB,10.03% a.a.,17/10/2024,Guide Investimentos,BR Partners
1,6.048,103.54,Votorantim 103.54% CDI por Guide Investimentos,FGC,CDB,9.98% a.a.,17/10/2024,Guide Investimentos,Votorantim
2,6.047,11.87,Tribanco Prefixado 11.87% por modalmais,FGC,CDB,10.16% a.a.,06/10/2024,modalmais,Tribanco
3,6.045,105.23,BMG CDI + 0.53% por Nova Futura Investimentos,FGC,CDB,10.15% a.a.,06/10/2024,Nova Futura Investimentos,BMG
4,6.045,103.00,BTG Pactual 103% CDI por Nova Futura Investimentos,FGC,CDB,9.93% a.a.,18/10/2024,Nova Futura Investimentos,BTG Pactual
5,6.043,105.00,Paraná Banco 105% CDI por Paraná Banco,FGC,CDB,10.12% a.a.,06/10/2024,Paraná Banco,Paraná Banco
6,6.043,105.00,Daycoval 105% CDI por Daycoval,FGC,CDB,10.12% a.a.,06/10/2024,Daycoval,Daycoval
7,6.043,105.00,BS2 105% CDI por Nova Futura Investimentos,FGC,CDB,10.12% a.a.,06/10/2024,Nova Futura Investimentos,BS2
8,6.043,105.00,BR Partners 105% CDI por modalmais,FGC,CDB,10.12% a.a.,06/10/2024,modalmais,BR Partners
9,6.043,108.00,Daycoval 108% CDI por Daycoval,FGC,CDB,10.12% a.a.,05/10/2024,Daycoval,Daycoval
10,6.042,12.15,Daycoval Prefixado 12.15% por Daycoval,FGC,CDB,10.11% a.a.,05/10/2024,Daycoval,Daycoval
11,6.037,102.50,ABC 102.5% CDI por Guide Investimentos,FGC,CDB,9.88% a.a.,17/10/2024,Guide Investimentos,ABC
