,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.085,109.00,RNX 109% CDI por modalmais,FGC,CDB,10.51% a.a.,06/10/2024,modalmais,RNX
1,6.085,109.00,Pine 109% CDI por modalmais,FGC,CDB,10.51% a.a.,06/10/2024,modalmais,Pine
2,6.082,12.25,PAN Prefixado 12.25% por modalmais,FGC,CDB,10.49% a.a.,06/10/2024,modalmais,PAN
3,6.079,91.00,BTG Pactual 91% CDI por Nova Futura Investimentos,FGC,LCA,10.24% a.a.,18/10/2024,Nova Futura Investimentos,BTG Pactual
4,6.078,12.20,Paraná Banco Prefixado 12.2% por Nova Futura Investimentos,FGC,CDB,10.45% a.a.,06/10/2024,Nova Futura Investimentos,Paraná Banco
5,6.075,106.00,Original 106% CDI por Guide Investimentos,FGC,CDB,10.22% a.a.,17/10/2024,Guide Investimentos,Original
6,6.075,12.51,Daycoval IPCA + 6.44% por Daycoval,FGC,CDB,10.42% a.a.,05/10/2024,Daycoval,Daycoval
7,6.074,108.00,Banco Inter 108% CDI por Banco Inter,FGC,CDB,10.41% a.a.,06/10/2024,Banco Inter,Banco Inter
8,6.074,108.00,C6 Bank 108% CDI por modalmais,FGC,CDB,10.41% a.a.,06/10/2024,modalmais,C6 Bank
9,6.073,107.00,BRK Financeira 107% CDI por Órama,FGC,CDB,10.32% a.a.,10/10/2024,Órama,BRK Financeira
10,6.072,106.00,BTG Pactual 106% CDI por BTG Pactual,FGC,CDB,10.22% a.a.,16/10/2024,BTG Pactual,BTG Pactual
11,6.070,11.93,BR Partners IPCA + 5.89% por modalmais,FGC,CDB,10.22% a.a.,15/10/2024,modalmais,BR Partners
