,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.123,111.00,Luso Brasileiro 111% CDI por modalmais,FGC,CDB,10.71% a.a.,15/10/2024,modalmais,Luso Brasileiro
1,6.123,111.00,Luso Brasileiro 111% CDI por Nova Futura Investimentos,FGC,CDB,10.71% a.a.,15/10/2024,Nova Futura Investimentos,Luso Brasileiro
2,6.123,110.50,Agibank 110.5% CDI por Guide Investimentos,FGC,CDB,10.66% a.a.,17/10/2024,Guide Investimentos,Agibank
3,6.122,10.70,BTG Pactual IPCA + 4.73% por modalmais,FGC,LCA,10.70% a.a.,15/10/2024,modalmais,BTG Pactual
4,6.120,110.70,Will Financeira 110.7% CDI por Will Financeira,FGC,RDB,10.68% a.a.,15/10/2024,Will Financeira,Will Financeira
5,6.120,110.00,Luso Brasileiro 110% CDI por Guide Investimentos,FGC,CDB,10.61% a.a.,20/10/2024,Guide Investimentos,Luso Brasileiro
6,6.118,110.00,Santinvest Financeira 110% CDI por Guide Investimentos,FGC,CDB,10.61% a.a.,17/10/2024,Guide Investimentos,Santinvest Financeira
7,6.116,94.00,ABC 94% CDI por Guide Investimentos,FGC,LCA,10.58% a.a.,19/10/2024,Guide Investimentos,ABC
8,6.116,111.00,RNX 111% CDI por Órama,FGC,CDB,10.71% a.a.,10/10/2024,Órama,RNX
9,6.115,12.60,C6 Bank Prefixado 12.6% por Daycoval,FGC,CDB,10.79% a.a.,06/10/2024,Daycoval,C6 Bank
10,6.114,12.40,Caruana Financeira Prefixado 12.4% por Nova Futura Investimentos,FGC,CDB,10.62% a.a.,15/10/2024,Nova Futura Investimentos,Caruana Financeira
11,6.113,110.00,Bari 110% CDI por Bari,FGC,CDB,10.61% a.a.,15/10/2024,Bari,Bari
