,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,6.161,114.00,Digimais 114% CDI por Guide Investimentos,FGC,CDB,11.00% a.a.,17/10/2024,Guide Investimentos,Digimais
1,6.160,12.79,BTG Pactual IPCA + 6.71% por Nova Futura Investimentos,FGC,CDB,10.97% a.a.,18/10/2024,Nova Futura Investimentos,BTG Pactual
2,6.158,116.00,Máxima 116% CDI por modalmais,FGC,CDB,11.19% a.a.,06/10/2024,modalmais,Máxima
3,6.158,116.00,Omni Banco 116% CDI por Nu invest,FGC,CDB,11.19% a.a.,06/10/2024,Nu invest,Omni Banco
4,6.158,116.00,Digimais 116% CDI por Nova Futura Investimentos,FGC,CDB,11.19% a.a.,06/10/2024,Nova Futura Investimentos,Digimais
5,6.152,12.99,Omni Banco Prefixado 12.99% por modalmais,FGC,CDB,11.13% a.a.,06/10/2024,modalmais,Omni Banco
6,6.150,12.78,Will Financeira Prefixado 12.78% por Will Financeira,FGC,CDB,10.95% a.a.,15/10/2024,Will Financeira,Will Financeira
7,6.150,12.78,Will Financeira Prefixado 12.78% por Will Financeira,FGC,LC,10.95% a.a.,15/10/2024,Will Financeira,Will Financeira
8,6.145,113.00,Sorocred Financeira 113% CDI por XP Investimentos,FGC,CDB,10.90% a.a.,15/10/2024,XP Investimentos,Sorocred Financeira
9,6.142,13.26,NBC Prefixado 13.26% por Nu invest,FGC,CDB,11.04% a.a.,05/10/2024,Nu invest,NBC
10,6.142,12.69,BTG Pactual IPCA + 6.61% por modalmais,FGC,CDB,10.88% a.a.,15/10/2024,modalmais,BTG Pactual
11,6.141,98.00,ABC 98% CDI por ABC Personal,FGC,LCA,11.03% a.a.,05/10/2024,ABC Personal,ABC
