,retorno,rentabilidade,empresa,tag,tipo,retabilidade_ano,prazo,distribuidor,emissor
0,8.363,111.00,Pine 111% CDI por Guide Investimentos,FGC,CDB,10.84% a.a.,20/10/2027,Guide Investimentos,Pine
1,8.363,111.00,Omni Banco 111% CDI por Guide Investimentos,FGC,CDB,10.84% a.a.,20/10/2027,Guide Investimentos,Omni Banco
2,8.345,110.79,Will Financeira 110.8% CDI por Will Financeira,FGC,RDB,10.82% a.a.,16/10/2027,Will Financeira,Will Financeira
3,8.315,110.00,Tribanco 110% CDI por modalmais,FGC,CDB,10.74% a.a.,15/10/2027,modalmais,Tribanco
4,8.278,109.00,Banco Industrial do Brasil 109% CDI por Ágora Investimentos,FGC,CDB,10.64% a.a.,17/10/2027,Ágora Investimentos,Banco Industrial do Brasil
5,8.278,109.00,Banco Industrial do Brasil 109% CDI por modalmais,FGC,CDB,10.64% a.a.,15/10/2027,modalmais,Banco Industrial do Brasil
6,8.272,108.83,Votorantim 108.83% CDI por modalmais,FGC,CDB,10.62% a.a.,15/10/2027,modalmais,Votorantim
7,8.271,108.80,Will Financeira 108.8% CDI por Will Financeira,FGC,CDB,10.62% a.a.,16/10/2027,Will Financeira,Will Financeira
8,8.271,108.80,Will Financeira 108.8% CDI por Will Financeira,FGC,LC,10.62% a.a.,16/10/2027,Will Financeira,Will Financeira
9,8.243,12.05,PAN Prefixado 12.05% por modalmais,FGC,CDB,10.55% a.a.,16/10/2027,modalmais,PAN
10,8.197,11.91,BTG Pactual IPCA + 5.87% por Nova Futura Investimentos,FGC,CDB,10.42% a.a.,16/10/2027,Nova Futura Investimentos,BTG Pactual
11,8.179,10.37,BTG Pactual IPCA + 4.42% por Nova Futura Investimentos,FGC,LCA,10.37% a.a.,16/10/2027,Nova Futura Investimentos,BTG Pactual
